              latlon ;city
-122.2923,37.84672; Emeryville
-122.2923,47.73246; Seattle
-122.2919,37.54334; San Mateo
-122.291,45.40352; Sandy
-122.2904,37.52999; San Mateo
-122.2903,47.56938; Seattle
-122.2874,38.32479; Napa
-122.2874,47.821; Lynnwood
-122.2867,47.8922; Mukilteo
-122.2855,47.55906; Seattle
-122.2852,47.60186; Seattle
-122.2832,47.45629; Seattle
-122.2824,37.56204; San Mateo
-122.2815,47.63339; Seattle
-122.2808,37.83026; Emeryville
-122.2807,38.0113; Hercules
-122.2806,47.75209; Lake Forest
-122.2801,47.8825; Lynnwood
-122.2798,37.8913; Berkeley
-122.2794,47.8482; Lynnwood
-122.2776,37.78822; Alameda
-122.2766,47.48738; Tukwila
-122.2765,37.80047; Oakland
-122.2765,45.39977; Sandy
-122.2764,37.7796; California
-122.2756,37.55554; San Mateo
-122.2755,37.52; Belmont
-122.2751,37.5197; California
-122.2746,37.56076; Foster City
-122.2745,38.28374; Napa
-122.2738,37.7825; California
-122.2737,37.80014; Oakland
-122.2734,47.83182; Lynnwood
-122.271,47.82332; Lynwood
-122.27,47.52094; Seattle
-122.2692,37.81047; Oakland
-122.2691,37.8783; Berkeley
-122.2677,37.8689; Berkeley
-122.2658,37.8704; Berkeley
-122.2639,38.16585; American Canyon
-122.2622,47.44681; Tukwila
-122.262,38.1657; American Canyon
-122.2612,37.50651; San Carlos
-122.2612,38.02135; Hercules
-122.2581,47.46325; Seattle
-122.2572,47.45584; Tukwila
-122.2563,37.55423; Foster City
-122.2555,38.1655; California
-122.2553,38.12143; Vallejo
-122.2546,47.4012; Kent
-122.2542,47.45566; Tukwila
-122.2539,37.7572; California
-122.2527,37.52141; Redwood City
-122.2522,37.75665; Alameda
-122.2521,37.82671; Oakland
-122.2519,47.8498; Lynnwood
-122.2518,37.83498; Oakland
-122.2474,47.38049; Kent
-122.2443,47.72868; Bothell
-122.2438,37.81077; Oakland
-122.2432,37.7636; Cal
-122.2404,47.88201; Everett
-122.2376,38.12317; Vallejo
-122.2364,47.38156; Kent
-122.2364,47.58669; Mercer Island
-122.2354,47.58664; Mercer Island
-122.2348,47.58597; Mercer Island
-122.2342,37.4856; Redwood City
-122.2336,38.0848; Vallejo
-122.2332,47.58536; Mercer Island
-122.2322,37.48395; Redwood City
-122.2301,37.77418; Oakland
-122.2295,47.20275; Sumner
-122.2294,47.20471; Sumner
-122.229,47.27281; Auburn
-122.2286,37.45545; Redwood City
-122.2286,40.16844; Red Bluff
-122.2267,47.54196; Mercer Island
-122.2258,47.30832; Auburn
-122.2244,47.31443; Auburn
-122.2242,37.46663; Redwood City
-122.2239,37.4906; Redwood City
-122.2233,37.47755; Redwood City
-122.2213,38.13481; Vallejo
-122.2213,47.31976; Auburn
-122.2212,47.92924; Everett
-122.2204,47.85825; Mill Creek
-122.2201,47.84946; Millcreek
-122.2199,47.44109; Renton
-122.219,47.75239; Kenmore
-122.2185,38.10596; Vallejo
-122.2183,37.474; Redwood City
-122.2178,47.85033; Mill Creek
-122.2168,47.79087; Bothell
-122.2159,47.47748; Renton
-122.2146,47.47976; Renton
-122.2123,37.46956; Redwood City
-122.2122,47.91325; Everett
-122.2121,39.5258; Willows
-122.212,38.1055; Vallejo
-122.211,47.47202; Renton
-122.2108,47.96333; Everett
-122.2093,37.82643; Oakland
-122.2092,47.7652; Bothell
-122.2086,47.09879; Orting
-122.2086,47.98019; Everett
-122.2075,47.2522; Auburn
-122.2074,47.762; Bothell
-122.2073,47.72324; Kirkland
-122.2068,47.88041; Everett
-122.2067,47.80932; Bothell
-122.2065,47.65696; Kirkland
-122.2046,47.37252; Kent
-122.2043,47.61738; Bellevue
-122.2023,47.36871; Kent
-122.2023,47.39229; Kent
-122.2016,37.43184; Menlo Park
-122.2016,47.61057; Bellevue
-122.2015,47.60452; Bellevue
-122.2015,47.98294; Everett
-122.2012,47.96979; Everett
-122.2004,47.67823; Kirkland
-122.1992,37.73788; Oakland
-122.1987,47.61574; Bellevue
-122.1979,47.41582; Kent
-122.1973,39.8145; Corning
-122.1971,37.42446; Menlo Park
-122.197,37.43233; Menlo Park
-122.197,47.41721; Kent
-122.197,47.44243; Renton
-122.1968,47.44314; Renton
-122.1965,47.66629; Kirkland
-122.1963,47.61266; Bellevue
-122.1963,47.61464; Bellevue
-122.1963,47.61553; Bellevue
-122.1917,37.88381; Orinda
-122.1891,47.71111; Kirkland
-122.1883,47.1918; Bonney Lake
-122.1858,37.47834; Redwood City
-122.1857,48.08831; Tulalip
-122.1823,37.879; Orinda
-122.1823,48.15234; Arlington
-122.1813,48.07584; Marysville
-122.181,37.71797; San Leandro
-122.1804,47.61662; Bellevue
-122.1802,37.45232; Menlo Park
-122.1787,48.05069; Marysville
-122.1781,47.67923; Kirkland
-122.1769,48.06477; Marysville
-122.1756,47.73206; Kirkland
-122.174,47.67931; Kirkland
-122.1722,48.08512; Marysville
-122.1703,47.57752; Bellevue
-122.1702,47.17363; Bonney Lake
-122.1692,47.57889; Bellevue
-122.1689,47.35886; Kent
-122.1659,47.53824; Newcastle
-122.1657,47.53976; Newcastle
-122.164,37.73536; San Leandro
-122.1637,47.48883; Renton
-122.1625,37.71225; San Leandro
-122.1618,37.4457; Palo Alto
-122.1614,47.16914; Bonney Lake
-122.1561,47.48852; Renton
-122.1557,37.72283; San Leandro
-122.155,47.75443; Woodinville
-122.1541,47.75443; Woodinville
-122.1538,47.4455; Renton
-122.1538,47.44815; Renton
-122.1537,47.625; Bellevue
-122.1514,47.16812; Bonney Lake
-122.1513,47.44493; Renton
-122.1491,37.42772; Palo Alto
-122.1453,47.16752; Bonney Lake
-122.143,47.62827; Bellevue
-122.142,37.71489; San Leandro
-122.1401,47.63155; Redmond
-122.1399,37.73336; San Leandro
-122.1399,47.60975; Bellevue
-122.1385,37.6868; San Leandro
-122.137,38.01705; Martinez
